location,population,highest_infection_count,percentage_population_infected
Cyprus,896007,696410,77.7200
Brunei,449002,347723,77.4400
"San Marino",33690,25292,75.0700
Austria,8939617,6082444,68.0400
"South Korea",51815808,34571873,66.7200
"Faroe Islands",53117,34658,65.2500
Slovenia,2119843,1356582,63.9900
Gibraltar,32677,20550,62.8900
Martinique,367512,230354,62.6800
Luxembourg,647601,393542,60.7700
Andorra,79843,48015,60.1400
Jersey,110796,66391,59.9200
Denmark,5882259,3435679,58.4100
"Saint Pierre and Miquelon",5885,3426,58.2200
France,67813000,38997490,57.5100
Iceland,372903,210374,56.4200
Guernsey,63329,35326,55.7800
Portugal,10270857,5664109,55.1500
Niue,1952,1074,55.0200
Liechtenstein,39355,21588,54.8500
Greece,10384972,5673681,54.6300
Singapore,5637022,3006155,53.3300
Latvia,1850654,977765,52.8300
Guadeloupe,395762,203235,51.3500
Israel,9449000,4841558,51.2400
Switzerland,8740471,4457868,51.0000
"New Zealand",5185289,2639048,50.8900
Reunion,974062,494595,50.7800
"Falkland Islands",3801,1923,50.5900
"Saint Barthelemy",10994,5507,50.0900
Lithuania,2750058,1369355,49.7900
Georgia,3744385,1863615,49.7700
Netherlands,17564020,8640008,49.1900
Seychelles,107135,51886,48.4300
Bahrain,1472237,696614,47.3200
Monaco,36491,17181,47.0800
Germany,83369840,38437756,46.1100
Estonia,1326064,610471,46.0400
"Cayman Islands",68722,31472,45.8000
Czechia,10493990,4761919,45.3800
Italy,59037472,26781078,45.3600
Australia,26177410,11861161,45.3100
"Isle of Man",84534,38008,44.9600
"Bonaire Sint Eustatius and Saba",27052,11922,44.0700
"Cook Islands",17032,7345,43.1200
Nauru,12691,5393,42.4900
Belgium,11655923,4872829,41.8100
Aruba,106459,44224,41.5400
"Saint Helena",5401,2166,40.1000
Montenegro,627082,251280,40.0700
"Marshall Islands",41593,16297,39.1800
"Saint Martin (French part)",31816,12324,38.7400
Barbados,281646,108582,38.5500
"Puerto Rico",3252412,1252713,38.5200
Serbia,6871547,2583470,37.6000
"United Kingdom",67508936,24974629,36.9900
Maldives,523798,186694,35.6400
Palau,18084,6372,35.2400
Ireland,5023108,1745088,34.7400
Slovakia,5643455,1878002,33.2800
Croatia,4030361,1317144,32.6800
"Wallis and Futuna",11596,3760,32.4200
"French Guiana",304568,98041,32.1900
Montserrat,4413,1403,31.7900
"United States",338289856,103436829,30.5800
Guam,171783,52287,30.4400
Uruguay,3422796,1041346,30.4200
"Northern Mariana Islands",49574,14912,30.0800
Mongolia,3398373,1011489,29.7600
Spain,47558632,13980340,29.4000
Bermuda,64207,18860,29.3700
Norway,5434324,1512647,27.8400
"Micronesia (country)",114178,31765,27.8200
"New Caledonia",289959,80163,27.6500
Chile,19603736,5401126,27.5500
Japan,123951696,33803572,27.2700
Finland,5540745,1499712,27.0700
Sweden,10549349,2755181,26.1200
Tuvalu,11335,2943,25.9600
"French Polynesia",306292,79387,25.9200
"United States Virgin Islands",99479,25389,25.5200
Mauritius,1299478,328167,25.2500
"Sint Maarten (Dutch part)",44192,11051,25.0100
Anguilla,15877,3904,24.5900
"British Virgin Islands",31332,7557,24.1200
Curacao,191173,45883,24.0000
"Costa Rica",5180836,1234701,23.8300
Panama,4408582,1044821,23.7000
Malta,533293,122796,23.0300
Lebanon,5489744,1239904,22.5900
Hungary,9967304,2230800,22.3800
Argentina,45510324,10101218,22.2000
Dominica,72758,16047,22.0600
Greenland,56494,11971,21.1900
Turkey,85341248,17004718,19.9300
Bulgaria,6781955,1329988,19.6100
Moldova,3272993,637520,19.4800
Qatar,2695131,514524,19.0900
"American Samoa",44295,8359,18.8700
Romania,19659270,3541619,18.0200
Belize,405285,71414,17.6200
Brazil,215313504,37511921,17.4200
"Saint Lucia",179872,30282,16.8400
Russia,144713312,24268728,16.7700
"North Macedonia",2093606,350924,16.7600
Poland,39857144,6670799,16.7400
Armenia,2780472,452273,16.2700
Tonga,106867,16976,15.8900
Grenada,125459,19693,15.7000
Malaysia,33938216,5309410,15.6400
Kuwait,4268886,667290,15.6300
Jordan,11285875,1746997,15.4800
Kosovo,1782115,274279,15.3900
"Turks and Caicos Islands",45726,6805,14.8800
Ukraine,39701744,5532777,13.9400
"Saint Kitts and Nevis",47681,6607,13.8600
Palestine,5250076,703228,13.3900
Suriname,618046,82501,13.3500
Peru,34049588,4526977,13.3000
Mayotte,326113,42027,12.8900
Botswana,2630300,330696,12.5700
Canada,38454328,4819055,12.5300
"Trinidad and Tobago",1531043,191496,12.5100
"Bosnia and Herzegovina",3233530,403666,12.4800
Colombia,51874028,6391876,12.3200
Vietnam,98186856,11624000,11.8400
Albania,2842318,335047,11.7900
"United Arab Emirates",9441138,1067030,11.3000
"Cape Verde",593162,64474,10.8700
Paraguay,6780745,735759,10.8500
Belarus,9534956,994037,10.4300
Cuba,11212198,1113662,9.9300
Bolivia,12224114,1212147,9.9200
"Antigua and Barbuda",93772,9106,9.7100
Bahamas,409989,39127,9.5400
Tunisia,12356116,1153361,9.3300
"Saint Vincent and the Grenadines",103959,9674,9.3100
Guyana,808727,74443,9.2000
Oman,4576300,399449,8.7300
Iran,88550568,7627863,8.6100
Pitcairn,47,4,8.5100
Azerbaijan,10358078,835757,8.0700
Bhutan,782457,62697,8.0100
Kazakhstan,19397998,1504370,7.7600
Samoa,222390,17057,7.6700
Libya,6812344,507269,7.4500
Fiji,929769,69047,7.4300
Guatemala,17843914,1250371,7.0100
China,1425887360,99373219,6.9700
"South Africa",59893884,4072765,6.8000
Namibia,2567024,172533,6.7200
Thailand,71697024,4799180,6.6900
Eswatini,1201680,75356,6.2700
Ecuador,18001002,1077445,5.9900
Mexico,127504120,7619458,5.9800
"Dominican Republic",11228821,661103,5.8900
Jamaica,2827382,157181,5.5600
Iraq,44496124,2465545,5.5400
Honduras,10432858,472896,4.5300
Tokelau,1893,80,4.2300
Kiribati,131237,5085,3.8700
Vanuatu,326744,12019,3.6800
Philippines,115559008,4173631,3.6100
"Solomon Islands",724272,25954,3.5800
Morocco,37457976,1279115,3.4100
Nepal,30547586,1003450,3.2800
Vatican,808,26,3.2200
"El Salvador",6336393,201920,3.1900
India,1417173120,45041748,3.1800
"Sri Lanka",21832150,672798,3.0800
"Sao Tome and Principe",227393,6771,2.9800
Laos,7529477,219060,2.9100
Indonesia,275501344,6829399,2.4800
"Saudi Arabia",36408824,841469,2.3100
Gabon,2388997,49051,2.0500
Venezuela,28301700,552695,1.9500
"East Timor",1341298,23460,1.7500
Zambia,20017670,349842,1.7500
Zimbabwe,16320539,266386,1.6300
Lesotho,2305826,36138,1.5700
Djibouti,1120851,15690,1.4000
Mauritania,4736146,63872,1.3500
Kyrgyzstan,6630621,88953,1.3400
Bangladesh,171186368,2051348,1.2000
Myanmar,54179312,642885,1.1900
Comoros,836783,9109,1.0900
"Equatorial Guinea",1674916,17130,1.0200
Rwanda,13776702,133264,0.9700
Cambodia,16767851,139319,0.8300
Mozambique,32969520,233843,0.7100
Pakistan,235824864,1580631,0.6700
Kenya,54027484,344106,0.6400
Algeria,44903228,272139,0.6100
Afghanistan,41128772,235214,0.5700
Senegal,17316452,89485,0.5200
Ghana,33475870,172062,0.5100
Uzbekistan,34627648,175081,0.5100
Gambia,2705995,12627,0.4700
Egypt,110990096,516023,0.4600
Guinea-Bissau,2105580,9614,0.4600
"Papua New Guinea",10142625,46864,0.4600
Cameroon,27914542,125246,0.4500
Togo,8848700,39530,0.4500
Malawi,20405318,89168,0.4400
Burundi,12889583,54569,0.4200
Congo,5970430,25227,0.4200
Ethiopia,123379928,501193,0.4100
Uganda,47249588,172154,0.3600
"Cote d'Ivoire",28160548,88434,0.3100
Angola,35588996,107481,0.3000
Haiti,11585003,34456,0.3000
"Central African Republic",5579148,15441,0.2800
Eritrea,3684041,10189,0.2800
Guinea,13859349,38572,0.2800
Syria,22125242,57423,0.2600
Madagascar,29611718,68567,0.2300
Nicaragua,6948395,16185,0.2300
Benin,13352864,28036,0.2100
Tajikistan,9952789,17786,0.1800
"South Sudan",10913172,18823,0.1700
Somalia,17597508,27334,0.1600
Liberia,5302690,8090,0.1500
Mali,22593598,33166,0.1500
Sudan,46874200,63993,0.1400
Nigeria,218541216,267188,0.1200
"Burkina Faso",22673764,22139,0.1000
"Democratic Republic of Congo",99010216,101009,0.1000
"Sierra Leone",8605723,7979,0.0900
Tanzania,65497752,43230,0.0700
Chad,17723312,7702,0.0400
Niger,26207982,9518,0.0400
Yemen,33696612,11945,0.0400
England,56550000,0,0.0000
"Hong Kong",7488863,0,0.0000
Macao,695180,0,0.0000
"North Korea",26069416,0,0.0000
"Northern Cyprus",382836,0,0.0000
"Northern Ireland",1896000,0,0.0000
Scotland,5466000,0,0.0000
Taiwan,23893396,0,0.0000
Turkmenistan,6430777,0,0.0000
Wales,3170000,0,0.0000
"Western Sahara",576005,0,0.0000
